Number,Sentence
14,그/MM 방문__02/NNG 앞/NNG (으)로/JKB_DIR 두/MM 놈/NNB 이/JKS 다가들/VV 었/EP 다/EF
15,사람/NNG 들/XSN 의/JKG 눈길__01/NNG 이/JKS 이/MM 쪽__05/NNB (으)로/JKB_DIR 쏠리/VV 었/EP 다/EF
16,달__05/NNG 이/JKS 어느새/MAG 서쪽/NNG (으)로/JKB_DIR 기울/VV 고/EC 있/VX 었/EP 습니다/EF
17,아이__01/NNG 의/JKG 턱__01/NNG 이/JKS 다시/MAG 무릎/NNG 위__01/NNG (으)로/JKB_DIR 떨어지/VV 었/EP 다/EF
18,해숙/NNP 이/JKS 구석__01/NNG 쪽__05/NNB (으)로/JKB_DIR 얼굴/NNG 을/JKO 돌리__04/VV 었/EP 다/EF
19,사람/NNG 들/XSN 의/JKG 시선__03/NNG 이/JKS 일제히/MAG 그/MM 쪽__05/NNB (으)로/JKB_DIR 쏠리/VV 었/EP 다/EF
20,간난이/NNP 의/JKG 귀밑/NNG (으)로/JKB_DIR 는/JX 땀__01/NNG 이/JKS 빗방울/NNG 같이/JKB 흘러내리/VV ᆫ다/EF
21,그곳/NP 에서/JKB 왼쪽/NNG (으)로/JKB_DIR 약사봉/NNP 능선__01/NNG 이/JKS 나/VV 아/EC 있/VX 었/EP 다/EF
22,해숙/NNP 이/JKS 복도__04/NNG (으)로/JKB_DIR 나가/VV 았/EP 다/EF
23,박/NNP 선생__01/NNG 이/JKS 수업__04/NNG 을/JKO 중단__04/NNG 하/XSV 고/EC 복도__04/NNG (으)로/JKB_DIR 나오/VV 았/EP 다/EF
24,형__01/NNG 님/XSN 이/JKS 밖/NNG (으)로/JKB_DIR 나가/VV 는/ETM 것/NNB 은/JX 위험/NNG 하/XSA ᄇ니다/EF
25,벽장__02/NNG 속__01/NNG 의/JKG 옷/NNG 들/XSN 이/JKS 모조리/MAG 밖/NNG (으)로/JKB_DIR 나오/VV 아/EC 있/VX 다/EF
26,김진봉/NNP 이/JKS 주춤주춤/MAG 뒤__01/NNG (으)로/JKB_DIR 물러서/VV 기/ETN 시작__01/NNG 하/XSV 앗/EP 다/EF
27,어쩐지/MAG 발걸음/NNG 이/JKS 집__01/NNG (으)로/JKB_DIR 향하/VV 아/EC 지/VX 지/EC 않/VX 았/EP 습니다/EF
28,그/NP 의/JKG 손__01/NNG 이/JKS 이미정/NNP 의/JKG 팔뚝/NNG (으)로/JKB_DIR 다가들/VV 었/EP 다/EF
29,꼬마/NNG 강/NNP 이/JKS 복도__04/NNG (으)로/JKB_DIR 나오/VV 면서/EC 말__01/NNG 하/XSV 았/EP 다/EF
30,공양주/NNG 보살__02/NNG 이/JKS 거처__02/NNG 하/XSV 는/ETM 방__07/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
31,두/MM 사람/NNG 이/JKS 한/MM 곳__01/NNG (으)로/JKB_DIR 가/VV 지/EC 말/VX 라/EF
32,두/MM 사람/NNG 의/JKG 시선__03/NNG 이/JKS 함께/MAG 야자나무/NNG (으)로/JKB_DIR 쏠리/VV 었/EP 다/EF
33,한/MM 녀석/NNB 이/JKS 마루__03/NNG (으)로/JKB_DIR 올라서/VV 고/EC 있/VX 었/EP 다/EF
34,롯데호텔/NNP 스카이라운지/NNG 위__01/NNG (으)로/JKB_DIR 달__05/NNG 이/JKS 떠오르/VV ᄇ니다/EF
35,그때/NNG 그/NP 의/JKG 콧등/NNG (으)로/JKB_DIR 빗방울/NNG 이/JKS 툭/MAG 떨어지/VV ᆫ다/EF
36,그때/NNG 저/MM 산등/NNG 위__01/NNG (으)로/JKB_DIR 그믐달/NNG 이/JKS 삐죽이__03/MAG 내밀/VV 었/EP 다/EF
37,빗물/NNG 이/JKS 입속/NNG (으)로/JKB_DIR 스며들/VV ᆫ다/EF
38,자재과장/NNG 이/JKS 몇/MM 번/NNB 이나/JX 서울/NNP 본사__03/NNG (으)로/JKB_DIR 전화__07/NNG 를/JKO 하/VV ᆫ다/EF
39,겉주머니/NNG (으)로/JKB_DIR 손__01/NNG 이/JKS 가/VV ᆫ다/EF
40,바스락/MAG 소리__01/NNG 에/JKB 도/JX 눈길__01/NNG 이/JKS 자꾸/MAG 문__05/NNG 쪽__05/NNB (으)로/JKB_DIR 가/VV ᆫ다/EF
41,그러나/MAJ 한/MM 발짝/NNB 밖/NNG (으)로/JKB_DIR 나가/VV 면/EC 천차만별/NNG 이/VCP 다/EF
42,출입문/NNG 도/JX 위아래/NNG (으)로/JKB_DIR 덜거덕거리/VV 었/EP 다/EF
43,어디/NP (으)로/JKB_DIR 가/VV 나/EF
44,나/NP 는/JX 터미널/NNG 쪽__05/NNB (으)로/JKB_DIR 서두르/VV 어/EC 가/VX ᆫ다/EF
45,품이/NNP 는/JX 그만/MAG 앞/NNG (으)로/JKB_DIR 고꾸라지/VV 고/EC 말/VX 았/EP 습니다/EF
46,오른편/NNG (으)로/JKB_DIR 돌/VV 앗/EF
47,그것/NP 이/JKS 어디/NP (으)로/JKB_DIR 들어가__01/VV 니/EF
48,훈아/NNP 는/JX 작은방/NNG 앞/NNG (으)로/JKB_DIR 달려가/VV 았/EP 다/EF
49,남쪽/NNG (으)로/JKB_DIR 는/JX 갈모__04/NNG 처럼/JKB 쫑긋/MAG 솟__01/VV 은/ETM 매남산/NNP
50,어디/NP (으)로/JKB_DIR 가/VV ᄇ니까/EF
51,영달이/NNP 가/JKS 대합실/NNG 바깥/NNG (으)로/JKB_DIR 나가/VV 며/EC 말__01/NNG 하/XSV 았/EP 다/EF
52,우리/NP 여섯/NR 명/NNB 은/JX 동대문/NNP 시장__04/NNG 헌/MM 책방__01/NNG 골목__01/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
53,그/NP 는/JX 목욕탕/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
54,그리고/MAJ 는/JX 다시/MAG 식반/NNG 위__01/NNG (으)로/JKB_DIR 고개__01/NNG 를/JKO 숙이/VV 었/EP 다/EF
55,그녀/NP 의/JKG 한쪽/NNG 다리__01/NNG 가/JKS 다른/MM 쪽__05/NNB 다리__01/NNG 위__01/NNG (으)로/JKB_DIR 올라가/VV 았/EP 다/EF
56,영구/NNP 는/JX 혼자__01/NNG 가만히/MAG 외양간/NNG (으)로/JKB_DIR 나가/VV 았/EP 다/EF
57,다음날/NNG 의식__03/NNG 을/JKO 회복/NNG 하/XSV ᆫ/ETM 나/NP 역시/MAG 경찰서/NNG (으)로/JKB_DIR 끌려가/VV 았/EP 다/EF
58,나/NP 는/JX 화장실/NNG (으)로/JKB_DIR 가/VV 지/EC 않/VX 았/EP 다/EF
59,그녀/NP 의/JKG 손톱__01/NNG 이/JKS 가슴속/NNG (으)로/JKB_DIR 들어가__01/VV 지/EC 않/VX 았/EP 다/EF
60,온/MM 마을__01/NNG 의/JKG 남자__02/NNG 들/XSN 은/JX 사방__03/NNG (으)로/JKB_DIR 흩어지/VV 었/EP 습니다/EF
61,야삽/NNG 이/JKS 엉덩이/NNG (으)로/JKB_DIR 날아오/VV 았/EP 다/EF
62,그리고/MAJ 천천히/MAG 미끄럼틀/NNG 위__01/NNG (으)로/JKB_DIR 올라가/VV 았/EP 어/EF
63,초조__03/NNG 하/XSA ᄆ/ETN 이/JKS 목구멍/NNG 근처/NNG (으)로/JKB_DIR 모여들/VV 었/EP 다/EF
64,그리고/MAJ 품이/NNP 와/JKB 함께/MAG 산__01/NNG (으)로/JKB_DIR 가/VV 았/EP 습니다/EF
65,그/NP 는/JX 먼저/MAG 대문__03/NNG 안__01/NNG (으)로/JKB_DIR 들어서/VV 었/EP 다/EF
66,입장료/NNG 를/JKO 지불__02/NNG 하/XSV 고/EC 안__01/NNG (으)로/JKB_DIR 계속/MAG 들어가__01/VV 아/EC 보/VX 자/EF
67,도립__02/NNG 병원__02/NNG 중환자실/NNG (으)로/JKB_DIR 옮기/VV 었/EP 답니다/EF
68,제/NP 가/JKS 지금__03/MAG 댁/NNG (으)로/JKB_DIR 가/VV 겠/EP 습니다/EF
69,나/NP 는/JX 학교/NNG (으)로/JKB_DIR 가/VV 겠/EP 어요/EF
70,그래서/MAJ 영숙이/NNP 언니/NNG 에게/JKB (으)로/JKB_DIR 가/VV 았/EP 다/EF
71,네/NP 가/JKS 가/VV 고/EC 싶/VX 은/ETM 곳__01/NNG (으)로/JKB_DIR
72,모두/MAG 물줄기/NNG (으)로/JKB_DIR 뛰어들/VV 었/EP 다/EF
73,좋/VA 은/ETM 쪽__05/NNB (으)로/JKB_DIR 생각__01/NNG 하/XSV 아/EF
74,눈길__01/NNG 을/JKO 탁자__01/NNG 위__01/NNG (으)로/JKB_DIR 떨어뜨리/VV 었/EP 다/EF
75,그러나/MAJ 퇴근/NNG 후__08/NNG 캐서린/NNP 은/JX 뉴욕/NNP 의/JKG 지하/NNG 세계__02/NNG (으)로/JKB_DIR 들어가__01/VV ᆫ다/EF
76,몇/MM 년__02/NNB 뒤__01/NNG 두환/NNP 은/JX 서울/NNP (으)로/JKB_DIR 거처__02/NNG 를/JKO 옮기/VV 었/EP 다/EF
77,해숙/NNP 은/JX 방문__02/NNG 앞/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
78,사람/NNG 들/XSN 은/JX 대한극장/NNP 쪽__05/NNB (으)로/JKB_DIR 정신없이/MAG 뛰어나가/VV 았/EP 다/EF
79,어디/NP (으)로/JKB_DIR 가/VV 았/EP 을까/EF
80,눈앞/NNG 에/JKB 정면__01/NNG (으)로/JKB_DIR 보이__01/VV 는/ETM 알미늄/NNG 섀시/NNG 창문/NNG 을/JKO 말__01/NNG 이/VCP 요/EF
81,서대문/NNP (으)로/JKB_DIR 가/VV ᄇ시다/EF
82,정우/NNP 는/JX 대꾸/NNG 없이/MAG 다시/MAG 밖/NNG (으)로/JKB_DIR 시선__03/NNG 을/JKO 돌리__04/VV ᆫ다/EF
83,혹은/MAG 딴/MM 곳__01/NNG (으)로/JKB_DIR 가/VV 았/EP 는지/EF
84,알타미라/NNP 동굴/NNG (으)로/JKB_DIR 가/VV 아/EC 보/VX 자/EF
85,금복이/NNP 는/JX 아이__01/NNG 들/XSN 한테/JKB (으)로/JKB_DIR 힘껏/MAG 달려가/VV 았/EP 습니다/EF
86,그리고/MAJ 그/NP 는/JX 일방__01/NNG 적/XSN (으)로/JKB_DIR 전화__07/NNG 를/JKO 끊/VV 어/EC 버리/VX 었/EP 다/EF
87,소나무/NNG 숲__01/NNG 속__01/NNG (으)로/JKB_DIR 들어서/VV 었/EP 다/EF
88,둘째/NR 날__01/NNG 아침/NNG 일찌감치/MAG 강의실/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
89,그/NP 는/JX 말없이/MAG 한참/NNG 채란/NNP 을/JKO 정면__01/NNG (으)로/JKB_DIR 바라보/VV ᆫ다/EF
90,그/NP 로부터/JKB 얼마/NNG 뒤__01/NNG 회사__04/NNG (으)로/JKB_DIR 전화__07/NNG 가/JKS 오/VV 았/EP 다/EF
91,매니저/NNG 가/JKS 경지/NNP 의/JKG 모습__01/NNG 을/JKO 위아래/NNG (으)로/JKB_DIR 살피/VV 었/EP 다/EF
92,그리고/MAJ 는/JX 고개__01/NNG 를/JKO 좌우__01/NNG (으)로/JKB_DIR 흔들/VV 었/EP 다/EF
93,모든/MM 사람/NNG 의/JKG 시선__03/NNG 이/JKS 그/NP 의/JKG 얼굴/NNG (으)로/JKB_DIR 날아들/VV 었/EP 다/EF
94,어디/NP (으)로/JKB_DIR 도망치/VV 었/EP 을까/EF
95,어느/MM 날__01/NNG 세무서/NNG (으)로/JKB_DIR 전화__07/NNG 가/JKS 걸리__01/VV 어/EC 오/VX 았/EP 다/EF
96,효선/NNP 씨/NNB 가/JKS (으)로/JKB_DIR 유학__04/NNG 을/JKO 떠나/VV ᆫ/ETM 것/NNB 이/VCP 다/EF
97,물론/MAG 섬머힐/NNP (으)로/JKB_DIR 가/VV 지요/EF
98,농협/NNP 창고__01/NNG 옆/NNG 골목__01/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
99,물__01/NNG 속__01/NNG (으)로/JKB_DIR 숨__01/VV 어/EC 버리/VX 었/EP 다/EF
100,한유지/NNP 가/JKS 서울/NNP (으)로/JKB_DIR 가/VV 는/ETM 거/NNB 이/VCP 다/EF
101,그리고/MAJ 사체__06/NNG 가/JKS 발견__01/NNG 되/XSV ᆫ/ETM 곳__01/NNG (으)로/JKB_DIR 옮기/VV 어/EC 지/VX 었/EP 다/EF
102,아낙/NNG 은/JX 다시/MAG 힘없이/MAG 짚단/NNG 위__01/NNG (으)로/JKB_DIR 나자빠지/VV 었/EP 다/EF
103,저쪽/NP (으)로/JKB_DIR 가/VV 시/EP ᄇ시오/EF
104,우리/NP 오늘/NNG 은/JX 둑길/NNG (으)로/JKB_DIR 가/VV 자/EF
105,그래서/MAJ 곧바로/MAG 이/MM 연천/NNP (으)로/JKB_DIR 돌아오/VV 았/EP 습니다/EF
106,창호/NNP 의/JKG 경운기/NNG 는/JX 샛개/NNP 농장__05/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
107,어서/MAG 각자/MAG 위치__01/NNG (으)로/JKB_DIR 가/VV 아/EF
108,성한경/NNP 은/JX 번개__01/NNG 처럼/JKB 금방/MAG 어둠/NNG 속__01/NNG (으)로/JKB_DIR 사라지/VV 어/EC 버리/VX 었/EP 다/EF
109,나/NP 는/JX 니나/NNP 더러/JKB 이쪽/NP (으)로/JKB_DIR 오/VV 라고/EC 손짓/NNG 하/XSV 았/EP 다/EF
110,기획__01/NNG 2/SN 부__15/NNB 는/JX 급히/MAG 일본/NNP 의/JKG 자동차/NNG 도서관/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
111,카라카라/NNP 는/JX 숲__01/NNG (으)로/JKB_DIR 기어들/VV 어/EC 가/VX 았/EP 다/EF
112,성진/NNP 은/JX 선창__06/NNG 의/JKG 도선장/NNG 쪽__05/NNB (으)로/JKB_DIR 나가/VV 았/EP 다/EF
113,공주__01/NNG 는/JX 승낙/NNG 하/XSV 고/EC 왕자__01/NNG 와/JKB 함께/MAG 성__08/NNG (으)로/JKB_DIR 가/VV 았/EP 습니다/EF
114,주먹/NNG 이/JKS 앞/NNG (으)로/JKB_DIR 날아오/VV ᆫ다/EF
115,애__02/NNG 들/XSN 은/JX 어디/NP (으)로/JKB_DIR 이/VCP ᆫ가/EC 우우/MAG 몰려가/VV 았/EP 습니다/EF
116,아기__01/NNG 아버지/NNG 는/JX 인터폰/NNG 앞/NNG (으)로/JKB_DIR 다가가/VV 았/EP 습니다/EF
117,삽/NNG 과/JC 괭이__01/NNG 를/JKO 둔덕/NNG (으)로/JKB_DIR 끌어올리/VV 었/EP 다/EF
118,장/NNG 꾼/XSN 들/XSN 은/JX 구름__01/NNG 처럼/JKB 이쪽/NNG (으)로/JKB_DIR 몰려오/VV 았/EP 다/EF
119,그러면/MAJ 그/NP 는/JX 다시/MAG 자기/NP 속__01/NNG (으)로/JKB_DIR 들어가__01/VV 는/ETM 것/NNB 이/VCP 었/EP 다/EF
120,그러나/MAJ 형__01/NNG 은/JX 능__05/NNG 안__01/NNG (으)로/JKB_DIR 들어가__01/VV 지/EC 는/JX 않/VX 았/EP 다/EF
121,그쪽/NP (으)로/JKB_DIR 가/VV 시/EP 죠/EF
122,품이/NNP 는/JX 말__01/NNG 하/XSV 고/EC 밖/NNG (으)로/JKB_DIR 나오/VV 았/EP 습니다/EF
123,이튿날/NNG 아침/NNG 에/JKB 신석주/NNP 는/JX 몸채/NNG 사랑__01/NNG (으)로/JKB_DIR 매월/NNP 을/JKO 불러들이/VV 었/EP 다/EF
124,벌써/MAG 골목__01/NNG (으)로/JKB_DIR 들어가__01/VV 고/EC 있/VX 었/EP 다/EF
125,윤선호/NNP 교수__06/NNG 와/JC 라미애/NNP 는/JX 끝섬/NNP (으)로/JKB_DIR 가/VV ᆫ다/EF
126,그/MM 골목__01/NNG 의/JKG 제/XPN 일/NR 끝/NNG 집__01/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 어요/EF
127,이__05/MM 차__06/NNG 가/JKS 교사__09/NNG 휴양원/NNG (으)로/JKB_DIR 가/VV 는/ETM 차__06/NNG 이/VCP ᄇ니까/EF
128,통님이/NNP 는/JX 주저__05/NNG 하/XSV 다가/EC 어머니/NNG 께/JKB (으)로/JKB_DIR 가/VV 았/EP 다/EF
129,이/NP 대로/JX 곧장/MAG 저/MM 아래__01/NNG (으)로/JKB_DIR 떨어지/VV 어/EC 버리/VX 었/EP 으면/EF
130,손__01/NNG 을/JKO 앞/NNG (으)로/JKB_DIR 모으/VV 고/EC 모두/MAG 서립/NNG 하/XSV ᆫ다/EF
131,그리고/MAJ 주인집/NNG 뒷곁/NNG (으)로/JKB_DIR 가/VV 았/EP 지/EF
132,삼돌이/NNP 의/JKG 전사__22/NNG 통지__02/NNG 가/JKS 집__01/NNG (으)로/JKB_DIR 날아들/VV 어/EC 오/VX 았/EP 습니다/EF
133,나/NP 는/JX 옛날/NNG 계엄령/NNG 때__01/NNG 에/JKB 이곳/NP (으)로/JKB_DIR 오/VV 았/EP 어요/EF
134,품이/NNP 는/JX 한/MM 손__01/NNG 을/JKO 머리__01/NNG (으)로/JKB_DIR 가져가/VV 았/EP 습니다/EF
135,경지/NNP 의/JKG 입/NNG 끝/NNG 이/JKS 양쪽/NNG (으)로/JKB_DIR 올라가/VV 기/ETN 시작__01/NNG 하/XSV 았/EP 다/EF
136,그리고/MAJ 객줏집/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
137,지하철/NNG 은/JX 강__01/NNG 밑__01/NNG (으)로/JKB_DIR 달리__04/VV 었/EP 지/EF
138,먼저/MAG 숙소__02/NNG (으)로/JKB_DIR 돌아가/VV 았/EP 다는/ETM 것/NNB 이/VCP 다/EF
139,아/IC 둘/NR 이/JKS 저/MM 노을/NNG 속__01/NNG (으)로/JKB_DIR 날아가/VV 아요/EF
140,그리고/MAJ 선수__05/NNG 들/XSN 과/JKB 함께/MAG 운동장/NNG (으)로/JKB_DIR 향하/VV 았/EP 다/EF
141,기득이/NNP 도/JX 얼른/MAG 그/MM 쪽/NNB (으)로/JKB_DIR 얼굴/NNG 을/JKO 돌리__04/VV 었/EP 다/EF
142,장/NNP 노인__01/NNG 은/JX 혼자__01/NNG 북북/MAG 하/XSV 면서/EC 밖/NNG (으)로/JKB_DIR 나가/VV 았/EP 다/EF
143,선창__06/NNG (으)로/JKB_DIR 가/VV 아/EC 보/VX 아야/EC 하/VX 겠/EP 습니다/EF
144,자/IC 어서/MAG 저/MM 가게/NNG (으)로/JKB_DIR 가/VV 자꾸나/EF
145,어디/NP (으)로/JKB_DIR 떠나/VV ᆫ단/ETM 말__01/NNG 이/VCP ᆫ가/EF
146,그러니까/MAJ 우리/NP 모두/MAG 엄마/NNG 방__07/NNG (으)로/JKB_DIR 가/VV 아/EF
147,강가__01/NNG (으)로/JKB_DIR 나가/VV 았/EP 다/EF
148,영구/NNP 는/JX 그만/MAG 앞/NNG (으)로/JKB_DIR 푹/MAG 고꾸라지/VV 고/EC 말/VX 았/EP 다/EF
149,역시/MAJ 그/NP 는/JX 나/NP 를/JKO 내방깐/NNG (으)로/JKB_DIR 데려가/VV 았/EP 다/EF
150,춘기/NNP 는/JX 그/MM 옆/NNG 의/JKG 기사__10/NNG (으)로/JKB_DIR 눈__01/NNG 을/JKO 들리__04/VV 었/EP 다/EF
151,북/NNP (으)로/JKB_DIR 가/VV ᆯ/ETM 참/NNB 이/VCP 었/EP 다/EF
152,이/MM 젊음/NNG 은/JX 몸__01/NNG 의/JKG 곳곳/NNG (으)로/JKB_DIR 퍼지/VV 어/EC 나가/VX ᆫ다/EF
153,어디/NP (으)로/JKB_DIR 길__01/NNG 이/JKS 나/VV ᆫ/ETM 것/NNB 이/VCP ᆯ까/EF
154,줄터/NNG 가/JKS 상자__10/NNG 속__01/NNG 처럼/JKB 눈__01/NNG 아래__01/NNG (으)로/JKB_DIR 내려다보이/VV 었/EP 다/EF
155,나/NP 는/JX 다시/MAG 그녀/NP 와/JKB 의/JKG 꿈속/NNG (으)로/JKB_DIR 돌아가/VV 려/EC 하/VX 았/EP 다/EF
156,어떤/MM 아이__01/NNG 아버지/NNG 가/JKS 어디/NP (으)로/JKB_DIR 나가/VV 았/EP 다/EF
157,그리고/MAJ 칼__01/NNG 을/JKO 허공/NNG (으)로/JKB_DIR 높이/MAG 던지/VV 었/EP 다/EF
158,는/JX 그/MM 갈림길/NNG 에서/JKB 왼쪽/NNG (으)로/JKB_DIR 가/VV 았/EP 다/EF
159,바위나리/NNG 는/JX 썰물/NNG 과/JKB 함께/MAG 바다/NNG (으)로/JKB_DIR 끌려가/VV 고/EC 말/VX 았/EP 습니다/EF
160,언니/NNG 도/JX 말없이/MAG 자기/NP 의/JKG 방__07/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
161,왼쪽/NNG (으)로/JKB_DIR 피하/VV 아/EC 주/VX 시/EP ᄇ시오/EF
162,예전__01/NNG 에/JKB 인천/NNP 에서/JKB 새우젓/NNG 배__02/NNG 가/JKS 마포강/NNP (으)로/JKB_DIR 들어오/VV 았/EP 답니다/EF
163,당장__02/NNG 집__01/NNG (으)로/JKB_DIR 가/VV 고/EC 싶/VX 었/EP 다/EF
164,우리/NP 사회__07/NNG 는/JX 지금__03/MAG 과도기/NNG 의/JKG 시련__02/NNG 속__01/NNG (으)로/JKB_DIR 접어들/VV 고/EC 있/VX 다/EF
165,직구/NNG 가/JKS 가운데/NNG (으)로/JKB_DIR 몰리__01/VV 었/EP 다/EF
166,인문__01/NNG 학부__03/NNG (으)로/JKB_DIR 걸어가/VV 는/ETM 길__01/NNG
167,다음__01/NNG 문제__06/NNG 는/JX 밑__01/NNG (으)로/JKB_DIR 내려가/VV 는/ETM 방법/NNG 이/VCP 야/EF
168,그/MM 애__02/NNG 는/JX 머리__01/NNG 를/JKO 옆/NNG (으)로/JKB_DIR 흔들/VV 었/EP 습니다/EF
169,얘/IC 너/NP ᆫ/JX 지금__03/MAG 어디/NP (으)로/JKB_DIR 가/VV 니/EF
170,나/NP 는/JX 지난번/NNG 처럼/JKB 순미/NNP 의/JKG 아파트/NNG 상가__07/NNG 옥상__03/NNG (으)로/JKB_DIR 올라가/VV 았/EP 다/EF
171,영달/NNP 아/JKV 정말/MAG 너/NP 혼자__01/NNG 만/JX 어디/NP (으)로/JKB_DIR 가/VV 니/EF
172,는/JX 안__01/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
173,우주__02/NNG 비행사/NNG 가/JKS 지구__04/NNG (으)로/JKB_DIR 돌아오/VV ᆫ다/EF
174,대전/NNP 엑스포/NNG 개막__01/NNG 이/JKS 두/MM 주일/NNB 앞/NNG (으)로/JKB_DIR 다가오/VV 았/EP 다/EF
175,나/NP 는/JX 먼저/MAG 서방__01/NNG (으)로/JKB_DIR 가/VV 네/EF
176,주인__01/NNG 은/JX 방__07/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
177,오늘/NNG 밤__01/NNG 에/JKB 우리/NP 집__01/NNG (으)로/JKB_DIR 가/VV 자/EF 하고/JKQ
178,사랑채/NNG (으)로/JKB_DIR 가져가/VV ᆯ/ETM 거/NNB 이/VCP 라예/EF
179,할아버지/NNG 저/IC 이왕이면/MAG 그/MM 너럭바위/NNG (으)로/JKB_DIR 가/VV 시/EP 어요/EF
180,이쪽/NP (으)로/JKB_DIR 오/VV 시/EP 어요/EF
181,오/NNP 반장__08/NNG 은/JX 즉시/MAG 파출소/NNG (으)로/JKB_DIR 향하/VV 았/EP 다/EF
182,저녁/NNG 후__08/NNG 이인국/NNP 박사__01/NNG 는/JX 고문관실/NNG (으)로/JKB_DIR 불리__04/VV 어/EC 나가/VX 았/EP 다/EF
183,그런/MM 소리__01/NNG 하/XSV 려거든/EC 너희/NP 집__01/NNG (으)로/JKB_DIR 가/VV 아/EF
184,소니/NNP 카페/NNG (으)로/JKB_DIR 차__06/NNG 를/JKO 몰__01/VV 았/EP 다/EF
185,대관령/NNP (으)로/JKB_DIR 가/VV ᆯ/ETM 생각__01/NNG 이/VCP 라네/EF
186,그리고/MAJ 나/NP 는/JX 어디/NP (으)로/JKB_DIR 가/VV 고/EC 있/VX 는가/EF
187,화장실/NNG (으)로/JKB_DIR 들어가__01/VV 았/EP 다/EF
188,그래서/MAJ 나/NP 는/JX 초소/NNG (으)로/JKB_DIR 올라가/VV 았/EP 다/EF
189,나/NP 는/JX 한/MM 발__01/NNG 아버지/NNG 앞/NNG (으)로/JKB_DIR 다가가/VV 았/EP 다/EF
190,허겁지겁/MAG 집__01/NNG (으)로/JKB_DIR 돌아오/VV 았/EP 다/EF
191,자연__01/NNG 스럽/XSA 게/EC 시선__03/NNG 이/JKS 복도__04/NNG 위__01/NNG 천장__02/NNG (으)로/JKB_DIR 향하/VV 았/EP 다/EF
192,호수__07/NNG (으)로/JKB_DIR 가/VV 는/ETM 픽업__02/NNG 트럭/NNG 의/JKG 운전사/NNG 가/JKS 성화__02/NNG 이/VCP 다/EF
193,그제서야/MAG 아이__01/NNG 는/JX 대문__03/NNG 쪽__05/NNB (으)로/JKB_DIR 발걸음/NNG 을/JKO 옮기/VV 어/EC 놓/VX 았/EP 습니다/EF
194,방__07/NNG (으)로/JKB_DIR 돌아가/VV 고/EC 싶/VX 었/EP 으나/EC 불/XPN 가능/NNG 하/XSA 았/EP 다/EF
